word,sentence1,sentence2,label
adormecer,Estacionou em cima de prédio e adormeceu.,Já adormeceu com o smartphone na mão?,1
decidir,O guia decide que é altura de partir.,O deferimento do pedido de classificação foi decidido no Conselho de Ministros [...].,1
arrojar,Uma experiência inovadora a que se arroja a Bertrand [...].,[...] a Guarda Fiscal continua a assegurar a vigilância [...] da mercadoria arrojada à praia [...].,0
aplaudir,[...] a Associação Sócio-Profissional da Polícia aplaudiu a decisão.,"Filadélfia [...] foi muito aplaudido, na terça-feira, no Festival de Cinema de Berlim [...].",1
chamar,O Banco de Espanha foi chamado a intervir [...].,Porque é que se chamou a esse plano Maria da Fonte?,0
legalizar,O autarca considerou ainda que legalizar os arrumadores é perigoso [...].,"Tudo estava legalizado antes: escrituras, contribuição autárquica, condóminos, etc.",1
exterminar,6 929 foram exterminadados [...].,Era o último exemplar de uma população [...] antes de ser exterminada pelos caçadores.,1
comentar,"Foi-lhe comentado por várias pessoas que a palavra ""diferença"" era usada com um sentido positivo.",O facto de o Presidente Kuchma ter aceite o pedido foi ontem comentado por economistas [...].,1
possibilitar,É no fundo possibilitar que cada criança tenha o seu projecto de vida.,Revendem-nos com a margem de lucro que lhes possibilita ter algum dinheiro [...].,1
esmurrar,A actriz francesa Beatrice Dalle [...] esmurrou e pontapeou um fotógrafo [...].,"O relógio de pulso de Murphy voou, depois de ele ter sido esmurrado de encontro a uma parede.",1
espoliar,Os nossos aliados também nos espoliaram.,"[...] o motorista [...] que ameaçaram com arma branca, antes de o espoliarem do telemóvel.",0
referir,"Também em 20/4/94, o Público se referia às trapalhadas do subsídio ao lisboeta Teatro da Graça.","Ouattara entrou na Sala [...], assim que lhe foi referida a entrevista [...].",0
agastar,O presidente estava visivelmente agastado com a derrota.,"O rei agastou-se e (consoante as versões do conto, que são várias) pô-la de castigo.",1
fluidificar,Os bloqueios [...] podem fluidificar a água [...].,[...] podem todos então beber a água que terá sido fluidificada pelos espíritos [...].,1
praxar,"Por exemplo, nenhum ""doutor"" pode praxar sem estar convenientemente trajado.","Este ano sou praxado, para o ano praxo eu!.",1
dominar,A prova das senhoras foi dominada pelas atletas do Quénia.,"Segundo todos os médicos que as observaram, June era dominada por Jennifer.",1
ressalvar,"Porque querem ressalvar a hipótese de ficarem perto da maioria absoluta, mas não a atingirem.",É ainda ressalvada a questão da solidariedade social [...].,1
remendar,A operação foi mal montada e já não vai a tempo de ser remendada de outra forma.,Outros remendavam as fardas de ganga preta [...].,1
musicar,Não acredito que Amélia Muge [...] fosse capaz de musicar poemas [...].,"[...] o poema [...], vai ser musicado [...] por uma estação de televisão de Xangai.",1
prometer,Imaginem um jogador a quem foi prometido este mundo e o outro [...].,A mãe prometeu-lhe que quando ele acabasse o curso lhe pagava um leitão.,1
recear,"O autor receava, aquando da sua publicação, que este livro fosse incompreendido .",Uma das consequências disso foi o facto de os timorenses recearem testemunhar diante da Comissão .,1
catalogar,"[...] propôs a criação de uma rede [...], que pretendia catalogar os centros [...].",[...] nem existiam câmaras que não estivessem catalogadas.,1
cantarolar,O povo [...] cantarolou as canções [...].,[...] durante o caminho de volta foi cantarolado.,1
visar,[...] uma posição [...] visando que [...] o cinema e o audiovisual sejam excluídos [...].,"Escolheu apenas uma e, pouca sorte a sua, visou logo o alvo errado.",0
envernizar,Ela lixou os móveis e envernizou-os.,[...] tenho um atrelado de cavalos em contraplacado marítimo que está envernizado [...].,1
prometer,[...] anuiu pagar estes valores porque lhe foi prometido 25% do negócio [...].,[...] tem uma posse em nome próprio relativamente ao bem que lhe foi prometido vender.,1
transfundir,[...] cada dádiva é em geral utilizada para transfundir duas pessoas [...].,"Esse jovem tinha sido transfundido, alguns anos antes, no HMP.",1
alargar,"[...] Flávio, um dos pioneiros do clube, que é da escola mas está alargado à comunidade [...].","Uma Antologia do Ballet Flamenco que se alarga ao folclore, ao bailado clássico e moderno.",1
vingar,[...] conta-nos a história da sua luta para vingar o seu patrão [...].,[...] Sally Gunnell não desperdiçou a oportunidade para se vingar da sua primeira derrota [...].,0
fartar,Já estava farto de ter que ler o Jornal do Brasil.,"Ao quinto filho, Carmen Thompson acabou por se fartar dessa vida.",1
comunicar,A informação foi comunicada à referida organização [...].,[...] é chamado à direcção [...] para lhe comunicarem que [...] está despedido.,1
ocultar,[...] alegando que este ocultou o facto de os grupos convidados [...].,"Por um lado, serve para ocultar o facto de as câmaras não terem recursos humanos [...].",1
ampliar,O Parlamento [...] delibera ampliar a sua Zona Económica Exclusiva [...].,Números sobre as vendas a retalho ampliaram os ganhos [...].,1
deserdar,"Olá pelos conhecimentos que tenho na área, não se pode deserdar os herdeiros legitimos.","O sentimento de abandono que impera na comunidade, a sensação de terem sido deserdados.",1
adiantar,Pedi aos nossos diplomatas que me adiantassem algum dinheiro [...].,"Pois na OSCE, não adianta que Washington, Moscovo, Paris e Londres estejam no mesmo barco.",0
quantificar,[...] não podemos quantificar os actos culturais [...].,Os danos causados pelo mau tempo na região de Lisboa ainda não estão quantificados.,1
formar,"Formou com os amigos a banda Olly, cujo tema ""Patricinha"" tem mais de 22 mil acessos no Youtube.","Nasceu em Lisboa em 1944. Formou-se em Arquitectura em 1968, pela ESBAL.",0
transpor,Bowie está assim a transpor para o universo musical uma forma de radicalismo [...].,"Há, mas todas elas estão já transpostas para o direito nacional.",1
indiciar,Um argumento que indicia que a doença não se transmite ao homem [...].,Os restantes 10 foram indiciados no decurso de investigações [...].,0
provar,A expressão foi inventada pelo disc-jockey Gilles Peterson [...].,Este ano quis provar a mim próprio que ainda era capaz de estudar e voltei.,0
africanizar,"Pensemos uma África europeizada, “quanto do modernismo foi africanizado”",Língua nascida numa Pátria exígua [...] que [...] africanizou terras e almas.,1
dar,[...] disparara uns 20 ou 30 tiros contra a janela que dá para a sala de Imprensa [...].,[...] mistura tais soluções com as inspiradas pelos surrealistas com quem se dá [...].,0
banzar,"Mas, no final, o que me banzou foi a ""ratoeira""!",Estou banzado pela falta de distribuição destes documentos.,1
alargar,Alargou a rede de pré-escolar e tomou medidas consideradas importantes [...].,Em 2003 a CAA alargou a sua atividade a vários países da Europa.,0
esconder,[...] não lhe escondo que não foi a única vez que engoli em seco.,Os membros do Majed [...] escondiam armas em árvores e postes eléctricos.,0
suprir,[...] os meios próprios da autarquia supriram de imediato as necessidades mais prementes.,"A sua ausência deverá agora ser suprida com a ""promoção"" de Anita DeFranz [...].",1
capacitar,Só recentemente me capacitei do impacte mundial do eclipse.,[...] não estou totalmente capacitado da responsabilidade [...].,0
apertar,O momento mais dramático de todo o incidente foi quando o detido apertou mesmo o gatilho [...].,Foi ele que montou fisicamente todo o satélite e apertou todos os parafusos.,1
