sentence,noun,pronoun,label
"O caminho até ao lago estava interditado, então nós não podíamos usar ele.",O caminho,ele,1
Fernanda não passou a bola para Juliana apesar de ela estar livre.,Juliana,ela,1
O João estava correndo pelo parque quando viu um homem fazendo malabarismos com melancias. Ele era muito impressionante.,João,Ele,0
Os polícias prenderam todos os membros do gangue. Eles estavam a tentar impedir o tráfico de droga no bairro.,Os polícias,Eles,1
"O Samuel partiu as duas pernas e agora anda com muletas. Mas daqui a cerca de um mês, elas devem estar melhores.",As pernas,elas,1
A Gabriela deu doces para a Jéssica porque ela estava com fome.,Gabriela,ela,0
"O Francisco e a Alice tinham casacos muito quentes, mas eles não eram suficientes para o frio do Alasca.",Os casacos,eles,1
As raposas estão entrando à noite e atacam as galinhas. Elas tornaram-se muito ousadas.,As galinhas,Elas,0
O André deu o gameboy ao João porque a vez dele tinha acabado.,João,dele,0
A Ana foi muito melhor do que a sua amiga Luciana na prova porque ela tinha estudado muito.,Ana,ela,1
O desenho do Samuel estava pendurado imediatamente acima do da Tina e ele de fato ficava muito melhor com outro abaixo dele.,O desenho da Tina,ele,0
"O Fernando visitou o túmulo de Leonardo em 1765. Nessa data, fazia cinco anos que ele estava a viajar.",Fernando,ele,1
"Quando os apoiantes do projeto de lei chegaram à Câmara Municipal, ficaram surpreendidos ao encontrar a sala cheia de opositores. Eles estavam em grande minoria.",Os apoiantes,Eles,1
O desenho do Samuel estava pendurado imediatamente acima do da Tina e ele de fato ficava muito melhor com outro abaixo dele.,O desenho do Samuel,ele,1
Este livro introduziu Shakespeare a Ovídio; ele era uma excelente seleção de sua escrita.,Ovídio,sua,1
O ralo está entupido com cabelo. Ele tem que ser removido.,O cabelo,Ele,1
O sapo comeu o mosquito. Ele estava saboroso.,O mosquito,Ele,1
"O Fernando visitou o túmulo de Leonardo em 1765. Nessa data, fazia cinco anos que ele estava a viajar.",Leonardo,ele,0
Eu servi o refrigerante no copo até que ele ficasse vazio.,O refrigerante,ele,1
"Não consegui encontrar uma colher, por isso tentei usar um lápis para mexer o café. Mas acabou por ser uma má ideia, porque ele ficou cheio de café.",O café,ele,0
O Felipe estava chateado com o Vasco porque a torradeira que ele lhe tinha vendido não funcionava,Vasco,ele,1
Este livro introduziu Shakespeare a Goethe; ele era uma excelente seleção de sua escrita.,Shakespeare,sua,1
O Jorge vendeu a sua casa e comprou uma nova a alguns quilómetros de distância. Vai mudar-se para ela na quinta-feira.,A velha casa,ela,0
"O Samuel puxou um banco para o piano, mas ele estava partido, então ele teve que cantar.",O piano,ele,1
O João estava correndo pelo parque quando viu um homem fazendo malabarismos com melancias. Ele era muito impressionante.,O malabarista,Ele,1
Felipe sentiu-se vingado quando o seu rival de longa data André revelou que ele era o vencedor da competição.,Felipe,ele,1
As raposas estão entrando à noite e atacam as galinhas. Elas tornaram-se muito ousadas.,As raposas,Elas,1
A Carolina acreditava que a Rebeca lamentava que ela tinha roubado o relógio.,Carolina,ela,0
Madonna demitiu a sua treinadora porque ela dormiu com o namorado dela.,A treinadora,ela,1
A biografia de Samuel Goodman sobre o general espartano Xenophanes comunica vividamente as dificuldades que ele enfrentou na sua infância.,Xenophanes,ele,1
"O Samuel tentou pintar um quadro de pastoras com ovelhas, mas elas acabaram por se parecer mais com jogadores de golfe.",As ovelhas,elas,0
"A Alice procurou pela sua amiga Flávia na multidão. Dado que ela sempre usa um turbante vermelho, Alice encontrou-a rapidamente.",Flávia,ela,1
Eu pus uma mochila pesada sobre a mesa e ela partiu-se.,A mochila pesada,ela,0
Olha! Está um tubarão a nadar mesmo debaixo daquele pato! É melhor ele fugir para um lugar seguro rápido!,O tubarão,ele,0
"A Gabriela bateu à porta, e Vanessa atendeu-a. Ela convidou-a a entrar.",Gabriela,Ela,0
"Eu vi o Guilherme gritando com um homem que vestia uma farda e tinha uma grande barba ruiva. Eu não sei quem ele era, mas ele parecia muito chateado.",o cara que vestia uma farda,ele,1
"Enquanto Mateus carregava Vitor pela longa escada em espiral, as suas pernas balançavam.",Mateus,suas,0
"Os jornalistas entrevistaram as estrelas do novo filme. Como eles eram muito cooperantes, a entrevista prolongou-se durante muito tempo.",Os astros,Eles,1
"A Gabriela bateu à porta, e Vanessa atendeu-a. Ela convidou-a para sair.",Gabriela,Ela,1
O homem não conseguia erguer o seu filho porque ele era muito pesado.,O homem,ele,0
"Vanessa sabia que o filho de Adriana havia se envolvido em um acidente de carro, então ela contou pra ela a respeito.",Adriana,ela,0
O Felipe estava chateado com o Vasco porque a torradeira que ele lhe tinha comprado não funcionava.,Vasco,ele,0
O cliente entrou no banco e esfaqueou um dos caixas. Ele foi levado imediatamente para a esquadra da polícia..,O cliente,Ele,1
O André deu o gameboy ao João porque era a vez dele.,João,dele,1
Eu pus o bolo no frigorífico. Ele tem muitas sobras.,O frigorífico,Ele,1
"O Daniel ficou no banco de trás enquanto que o André foi para a frente porque o ""Eu primeiro!"" dele foi lento.",André,dele,0
"O Samuel tentou pintar um quadro de pastoras com ovelhas, mas elas acabaram por se parecer mais com cães.",As pastoras,elas,0
